SNo,District,metric_1,metric_2,metric_3,metric_4,metric_5,metric_6,metric_7,metric_8,metric_9,metric_10,metric_11,metric_12,metric_13,metric_14,metric_15,metric_16,metric_17,metric_18,metric_19,metric_20,metric_21,metric_22,metric_23,metric_24,metric_25,metric_26,metric_27,metric_28,metric_29,metric_30,Year
1,AGRA,11597,106321,10764,244172,5358,189067,4977,227360,4050,227841,2775,182191,3197,239665,8385,768887,711,71100,0,0,0,0,0,0,0,0,0,0,51814,2256604,2020
2,ALIGARH,18318,161261,13214,304022,5752,202447,5856,264079,3786,209767,4036,265338,2749,208305,7203,652224,699,69900,0,0,0,0,0,0,0,0,0,0,61613,2337343,2020
3,AMBEDKAR NAGAR,14872,148386,14048,326188,5717,201745,6271,280855,5129,286952,4398,290079,3713,280372,12343,1125625,1152,115200,0,0,0,0,0,0,0,0,0,0,67643,3055402,2020
4,AMETHI,11576,118954,14397,338310,4429,157376,7162,320521,5942,334789,4472,294144,5017,380214,13018,1180379,1584,158400,0,0,0,0,0,0,0,0,0,0,67597,3283087,2020
5,AMROHA,19019,148419,15490,342646,6364,226266,5049,229373,4266,237640,3345,219130,2929,221991,6657,606113,811,81100,0,0,0,0,0,0,0,0,0,0,63930,2312678,2020
6,AURAIYA,10040,94518,7580,176626,3695,130858,3388,152762,2436,135689,2273,148156,1586,119974,3524,320988,529,52900,0,0,0,0,0,0,0,0,0,0,35051,1332471,2020
7,AYODHYA,16183,155990,13464,315876,6107,216595,6847,305961,5542,307175,5531,364883,3799,287721,16483,1513878,2226,222600,0,0,0,0,0,0,0,0,0,0,76182,3690679,2020
8,AZAMGARH,33816,319641,37471,883599,15869,563064,17864,808996,13037,725353,11522,756735,9347,705481,19396,1740563,1049,104900,0,0,0,0,0,0,0,0,0,0,159371,6608332,2020
9,BAGHPAT,557,5185,550,12228,242,8598,248,11305,161,8939,96,6284,82,6204,155,14059,31,3100,0,0,0,0,0,0,0,0,0,0,2122,75902,2020
10,BAHRAICH,20598,207343,27173,639416,10975,387925,13291,605299,11742,664628,8567,562042,9747,732807,27654,2517072,2626,262600,0,0,0,0,0,0,0,0,0,0,132373,6579132,2020
11,BALLIA,17082,171095,19011,452635,7804,275962,8503,382607,7509,418053,5988,393130,4770,359836,12088,1088853,552,55200,0,0,0,0,0,0,0,0,0,0,83307,3597371,2020
12,BALRAMPUR,11215,115560,10831,252976,6752,239854,6325,290505,5516,311352,4454,294189,5241,393206,19486,1792171,3335,333500,0,0,0,0,0,0,0,0,0,0,73155,4023313,2020
13,BANDA,13261,123269,11888,279425,5460,196709,6297,286760,5460,306100,4039,266270,4554,341077,14796,1344751,6130,613000,0,0,0,0,0,0,0,0,0,0,71885,3757361,2020
14,BARABANKI,19018,199118,17895,428908,9318,333380,9696,441300,8191,457153,7271,478379,6356,479291,22063,2018914,3473,347300,0,0,0,0,0,0,0,0,0,0,103281,5183743,2020
15,BAREILLY,26007,213122,18124,402874,7214,255571,5832,264185,4786,266446,3757,246195,3316,250235,8505,775552,1384,138400,0,0,0,0,0,0,0,0,0,0,78925,2812580,2020
16,BASTI,25076,288661,31439,776328,10441,376423,15977,706883,15245,846228,13274,885538,9246,701766,33069,3018393,3607,360700,1,105,0,0,0,0,0,0,0,0,157375,7961025,2020
17,BIJNOR,41243,299496,21945,475449,7036,247946,4966,224327,3594,199369,2664,174258,2134,160896,5113,469445,878,87800,0,0,0,0,0,0,0,0,0,0,89573,2338986,2020
18,BUDAUN,17929,173340,15686,363614,7126,252655,7638,344664,6212,347496,5510,362956,4988,376195,16943,1545394,1984,198400,0,0,0,0,0,0,0,0,0,0,84016,3964714,2020
19,BULANDSHAHR,6323,44946,3635,76549,813,28652,571,25576,395,22033,200,13092,153,11566,227,20375,138,13800,0,0,0,0,0,0,0,0,0,0,12455,256589,2020
20,CHANDAULI,13197,132618,11805,280013,5002,177373,6219,278498,4537,251590,4610,305390,3165,239955,13310,1221125,1310,131000,0,0,0,0,0,0,0,0,0,0,63155,3017562,2020
21,CHITRAKOOT,9844,93163,8105,191311,3991,140983,4823,217762,3542,196808,3923,258555,2784,210459,13933,1282953,3607,360700,0,0,0,0,0,0,0,0,0,0,54552,2952694,2020
22,DEORIA,11505,126909,16591,403386,5663,202995,8235,365912,7406,410689,5231,346455,4920,372175,13281,1203458,919,91900,0,0,0,0,0,0,0,0,0,0,73751,3523879,2020
23,ETAH,7302,73015,7848,190855,3239,113868,4324,194414,3557,197913,3196,211072,2048,155951,8177,746341,828,82800,0,0,0,0,0,0,0,0,0,0,40519,1966229,2020
24,ETAWAH,8518,81410,10468,243632,3704,131680,3941,178659,3515,198463,2085,137186,2612,195630,6385,578606,1380,138000,0,0,0,0,0,0,0,0,0,0,42608,1883266,2020
25,FARRUKHABAD,9626,83274,8738,199093,3505,124896,3456,156293,2907,162175,2293,150510,3083,232846,5284,456804,31,3100,0,0,0,0,0,0,0,0,0,0,38923,1568991,2020
26,FATEHPUR,13144,141177,17642,426395,4941,176789,8114,359181,8130,458621,5648,374263,6000,452395,20454,1849556,2824,282400,0,0,0,0,0,0,0,0,0,0,86897,4520777,2020
27,FIROZABAD,7894,73883,8430,196078,3759,133959,4516,204640,3952,221787,2779,182631,3438,258477,8358,753323,1157,115700,0,0,0,0,0,0,0,0,0,0,44283,2140478,2020
28,GAUTAM BUDDHA NAGAR,180,1211,231,5463,98,3478,41,1863,10,544,4,255,0,0,2,184,0,0,0,0,0,0,0,0,0,0,0,0,566,12998,2020
29,GHAZIPUR,19706,195606,26652,627506,8941,319029,10717,487535,9143,510849,6211,408942,5923,444915,13828,1255540,2065,206500,0,0,0,0,0,0,0,0,0,0,103186,4456422,2020
30,GONDA,20945,238480,21555,515894,10054,357078,12002,534660,10194,565098,10087,668631,6838,520952,28333,2579105,2038,203800,0,0,0,0,0,0,0,0,0,0,122046,6183698,2020
31,GORAKHPUR,17915,169118,20938,483130,9155,325556,8979,405920,7747,430969,6535,428188,6704,505617,15700,1416060,1165,116500,0,0,0,0,0,0,0,0,0,0,94838,4281058,2020
32,HAMIRPUR,9337,89206,9631,228820,4130,147341,5012,227993,4398,246257,3417,225453,3242,243896,14819,1365828,2780,278000,1,102,0,0,0,0,0,0,0,0,56767,3052896,2020
33,HAPUR,1308,11396,1030,23790,367,13133,384,17834,234,12818,210,13430,140,10535,226,20742,132,13200,0,0,0,0,0,0,0,0,0,0,4031,136878,2020
34,HARDOI,23713,256738,26055,643094,10441,370145,15382,683965,13108,726890,13167,874029,8102,616352,38124,3480654,3264,326400,0,0,0,0,0,0,0,0,0,0,151356,7978267,2020
35,HATHRAS,7275,59810,5540,123622,2443,86473,1923,86904,1323,73009,988,64632,747,56199,1510,137236,583,58300,0,0,0,0,0,0,0,0,0,0,22332,746185,2020
36,JALAUN,17362,180015,13395,326079,5539,196029,8523,382364,5727,318162,7086,471381,4303,327767,18600,1701697,1405,140500,0,0,0,0,0,0,0,0,0,0,81940,4043994,2020
37,JAUNPUR,19952,217356,24909,585866,8904,318757,12796,573349,11643,657753,7330,484905,8945,670702,29116,2656030,3710,371000,0,0,0,0,0,0,0,0,0,0,127305,6535718,2020
38,JHANSI,7771,78673,8246,192642,3983,143022,4120,189513,3734,210238,3345,221432,3812,287454,17460,1621690,5836,583600,0,0,0,0,0,0,0,0,0,0,58307,3528264,2020
39,KANNAUJ,12234,111565,10180,229763,3833,135338,3876,173690,3336,185765,2616,173047,2117,160158,6344,570737,370,37000,0,0,0,0,0,0,0,0,0,0,44906,1777063,2020
40,KANPUR DEHAT,10088,90127,9063,207439,4476,157904,4246,191633,3178,176901,3127,205346,2578,194928,7793,714139,1030,103000,0,0,0,0,0,0,0,0,0,0,45579,2041417,2020
41,KANPUR NAGAR,7921,68420,5791,132015,2762,97464,2449,110592,1837,101778,1727,113157,1478,111955,5458,497020,403,40300,0,0,0,0,0,0,0,0,0,0,29826,1272701,2020
42,KASHGANJ,8829,75661,7792,175209,3643,128764,3381,152948,2813,155537,2412,157980,2229,168458,6177,566640,2159,215900,0,0,0,0,0,0,0,0,0,0,39435,1797097,2020
43,KAUSHAMBI,8958,85211,7944,184351,3369,119177,3608,163739,3165,178803,2366,155263,2798,210244,7773,704980,779,77900,0,0,0,0,0,0,0,0,0,0,40760,1879668,2020
44,KHERI,34923,320036,28669,666953,12304,436443,13169,592561,11176,620409,9827,648043,7106,538628,23477,2136479,2743,274300,0,0,0,0,0,0,0,0,0,0,143394,6233852,2020
45,KUSHI NAGAR,19926,212106,24820,589474,11640,413233,13936,627475,9872,547977,10644,698862,6486,491058,20033,1818602,1962,196200,0,0,0,0,0,0,0,0,0,0,119319,5594987,2020
46,LALITPUR,12976,128513,13463,313587,6004,213448,6605,301527,5256,296628,3844,254269,4383,327823,16245,1503299,7348,734800,0,0,0,0,0,0,0,0,0,0,76124,4073894,2020
47,LUCKNOW,8704,72780,6975,156512,3003,106297,2824,128119,2201,122263,1918,125416,1796,135440,6400,586810,1272,127200,0,0,0,0,0,0,0,0,0,0,35093,1560837,2020
48,MAHARAJGANJ,27485,266435,31936,721842,15456,542593,13946,631283,11890,662706,11511,753704,9306,703124,23386,2128791,3567,356700,0,0,0,0,0,0,0,0,0,0,148483,6767178,2020
49,MAHOBA,5267,51126,4235,100600,1825,64464,2145,96047,1767,98456,1816,120032,1105,83755,4418,406050,2122,212200,0,0,0,0,0,0,0,0,0,0,24700,1232730,2020
50,MAINPURI,12064,115993,10338,240250,4499,160601,4398,197924,3954,220209,3582,235336,2979,225398,10244,934108,1088,108800,0,0,0,0,0,0,0,0,0,0,53146,2438619,2020
51,MATHURA,9043,85638,7071,167054,2849,101811,3005,134195,2329,129169,2109,139112,1655,125445,5791,532878,638,63800,0,0,0,0,0,0,0,0,0,0,34490,1479102,2020
52,MAU,17872,208406,17604,439295,6008,213149,10033,439512,8790,486574,8118,542157,4360,331538,17471,1595879,1842,184200,0,0,0,0,0,0,0,0,0,0,92098,4440710,2020
53,MEERUT,2894,29916,2257,53515,742,26247,868,38298,717,39618,651,43988,278,21111,2774,260452,381,38100,0,0,0,0,0,0,0,0,0,0,11562,551245,2020
54,MIRZAPUR,14872,147303,13933,327543,5490,194620,6540,292075,5389,299930,5156,340755,3876,294239,16441,1507293,1049,104900,0,0,0,0,0,0,0,0,0,0,72746,3508658,2020
55,MORADABAD,13310,126149,12338,284055,4787,169366,4905,221078,3781,210350,3374,221507,2390,180906,6878,625068,897,89700,0,0,0,0,0,0,0,0,0,0,52660,2128179,2020
56,MUZAFFARNAGAR,3493,29564,3176,72647,1662,58630,1539,69537,1050,58268,979,64444,820,61855,2344,214663,439,43900,0,0,0,0,0,0,0,0,0,0,15502,673508,2020
57,PILIBHIT,25263,205704,22459,491842,7866,277850,6569,296900,5448,303964,4377,286600,3936,297568,9722,882660,1172,117200,0,0,0,0,0,0,0,0,0,0,86812,3160288,2020
58,PRATAPGARH,22946,277308,29185,715120,5149,184956,13312,577921,12285,690632,7390,496942,5818,435526,19258,1732057,3208,320800,0,0,0,0,0,0,0,0,0,0,118551,5431262,2020
59,PRAYAGRAJ,21705,208141,20693,477775,7987,284079,8648,388864,7318,408020,6536,428465,5544,418463,17131,1555839,1921,192100,0,0,0,0,0,0,0,0,0,0,97483,4361746,2020
60,RAE BARELI,24364,200681,18045,410081,8444,298518,8117,366614,6218,344769,6668,436979,5168,391071,16601,1521314,4639,463900,0,0,0,0,0,0,0,0,0,0,98264,4433927,2020
61,RAMPUR,11660,98210,11402,261542,4024,143268,5086,229971,4340,243439,2838,186528,3667,275846,10226,932291,707,70700,0,0,0,0,0,0,0,0,0,0,53950,2441795,2020
62,SAHARANPUR,19121,146172,9658,212178,3289,115831,2600,117509,1713,95019,1488,97542,1131,85519,2698,246406,325,32500,0,0,0,0,0,0,0,0,0,0,42023,1148676,2020
63,SAMBHAL,14017,124755,12492,282861,5660,201058,5319,241349,4386,244726,3533,232468,3203,241407,9323,854064,1486,148600,0,0,0,0,0,0,0,0,0,0,59419,2571288,2020
64,SANT KABEER NAGAR,14924,170918,20953,499674,9322,331472,9840,442193,9613,533115,7291,479275,7018,531621,19148,1731379,2051,205100,0,0,0,0,0,0,0,0,0,0,100160,4924747,2020
65,SANT RAVIDAS NAGAR,8271,77955,6193,143868,2725,95319,2710,122089,2032,113129,1951,127882,1558,118107,5373,491452,789,78900,0,0,0,0,0,0,0,0,0,0,31602,1368701,2020
66,SHAHJAHANPUR,24217,202966,19309,438911,7045,250167,7133,322031,6456,363184,4490,293976,4302,324614,12241,1112969,1450,145000,0,0,0,0,0,0,0,0,0,0,86643,3453818,2020
67,SHAMLI,2586,24701,2222,52981,693,24411,1047,46084,695,38617,423,28314,334,25122,673,60221,123,12300,0,0,0,0,0,0,0,0,0,0,8796,312751,2020
68,SHRAVASTI,7599,71417,7431,171812,3512,124613,3502,159695,3285,185519,2195,143946,2546,190900,10037,927425,1932,193200,0,0,0,0,0,0,0,0,0,0,42039,2168527,2020
69,SIDDHARTH NAGAR,30005,347342,34242,838813,15011,533585,21477,960284,16035,888613,16730,1105137,10583,802064,28313,2552593,3208,320800,0,0,0,0,0,0,0,0,0,0,175604,8349231,2020
70,SITAPUR,38087,344911,37309,871138,15028,536368,17785,803713,15301,856423,12412,818123,12548,945435,42106,3816262,3385,338500,0,0,0,0,0,0,0,0,0,0,193961,9330873,2020
71,SONBHADRA,21089,195666,22321,509468,9053,322924,8320,376743,6710,373214,5206,342272,5186,391291,13896,1262301,2051,205100,2,203,0,0,0,0,0,0,0,0,93834,3979182,2020
72,SULTANPUR,13128,142768,16017,376756,5184,182814,7433,331272,6850,384177,5932,392709,6032,456845,18118,1630925,2079,207900,0,0,0,0,0,0,0,0,0,0,80773,4106166,2020
73,UNNAO,21422,163394,13700,314839,6905,243430,7122,321881,5281,293398,5790,379715,4426,334778,17546,1604853,4072,407200,0,0,0,0,0,0,0,0,0,0,86264,4063488,2020
74,VARANASI,11591,98777,7971,178205,3323,116994,3160,143053,2321,128927,1986,129843,1644,124644,3854,349263,374,37400,0,0,0,0,0,0,0,0,0,0,36224,1307106,2020
,Total,1123078,10724418,1081601,25288478,438903,15580883,500918,22530976,416594,23243862,355330,23429463,302114,22815963,959719,87408730,132994,13299400,4,410,0,0,0,0,0,0,0,0,5311255,244322583,2020
