SNo,District,financial_metric_1,financial_metric_2,financial_metric_3,financial_metric_4,financial_metric_5,financial_metric_6,financial_metric_7,financial_metric_8,financial_metric_9,financial_metric_10,financial_metric_11,financial_metric_12,financial_metric_13,financial_metric_14,financial_metric_15,financial_metric_16,financial_metric_17,financial_metric_18,financial_metric_19,financial_metric_20,financial_metric_21,financial_metric_22,financial_metric_23,financial_metric_24,financial_metric_25,financial_metric_26,financial_metric_27,financial_metric_28,Year
1,AZAMGARH,,-223.49,0,0,0,21637.09,0,0,0,0,0,21413.59,0,16410.45,457.62,3405.95,282.24,1012.27,0.51,1012.78,21569.04,100.73,-155.45,21.91,24.07,17.36,0.54,63.88,2022
2,BANDA,,-69.61,0,0,0,11409.13,0,0,0,0,0,11339.53,0,8956.59,243.8,1663.82,142.81,383.67,0.25,383.91,11390.93,100.45,-51.4,7.38,2.57,4.35,0.35,14.65,2022
3,BARABANKI,,-25.79,0,0,0,23827.2,0,0,0,0,0,23801.41,0,17165.87,678.05,5007.43,141.8,801.08,0.09,801.16,23794.32,99.97,7.09,23.08,11.41,16.79,0.19,51.47,2022
4,CHANDAULI,,-5.19,0,0,0,9790.28,0,0,0,0,0,9785.09,0,7454.56,223.47,1623.05,14.09,458.21,2.57,460.78,9775.95,99.91,9.14,10.36,15.39,10.39,0.38,36.52,2022
5,CHITRAKOOT,,6.7,0,0,0,8661.5,0,0,0,0,0,8668.2,0,7026.9,128.16,1068.28,128.55,284.24,0.97,285.21,8637.08,99.64,31.12,15.15,9.28,1.5,0,25.93,2022
6,FATEHPUR,,2.74,0,0,0,13960.3,0,0,0,0,0,13963.04,0,10972.85,230.18,2028.38,21.02,676.95,1.13,678.09,13930.51,99.77,32.53,41.45,7.8,34.16,0.37,83.78,2022
7,GORAKHPUR,,-105.29,0,0,0,13802.92,0,0,0,0,0,13697.63,0,11965.18,210.03,830.64,12.37,726.82,0,726.82,13745.04,100.35,-47.41,228.03,20.73,18.18,0.22,267.16,2022
8,HAMIRPUR,,-60.34,0,0,0,7964.43,0,0,0,0,0,7904.09,0,6931.88,150.02,515.59,47.38,286.41,0,286.41,7931.28,100.34,-27.19,6.3,3.39,9.26,0.82,19.77,2022
9,HARDOI,,-216.96,0,0,0,21068.94,0,0,0,0,0,20851.98,0,15745.06,307.96,3851.03,184.3,935.27,1.72,936.99,21025.34,100.83,-173.36,17.75,9.53,12.2,0.25,39.73,2022
10,JALAUN,,-17.29,0,0,0,19340.24,0,0,0,0,0,19322.95,0,13398.45,356.49,4566.06,451.39,524.3,2.9,527.21,19299.59,99.88,23.36,10.81,18.99,8.31,0.91,39.02,2022
11,JAUNPUR,,-313.17,0,0,0,24088.2,0,0,0,0,0,23775.04,0,19331.13,264.89,2945.05,349.08,1135.23,9.98,1145.21,24035.36,101.09,-260.32,77.67,14.68,53.99,5.2,151.54,2022
12,KAUSHAMBI,,-21.24,0,0,0,7866.15,0,0,0,0,0,7844.91,0,5413.96,95.08,2035.33,32.74,283.65,0,283.65,7860.75,100.2,-15.84,90.54,7.67,0.2,0,98.41,2022
13,KHERI,,-10.12,0,0,0,23345.14,0,0,0,0,0,23335.02,0,19584.87,296.47,2270.89,299.72,849.27,0.21,849.48,23301.43,99.86,33.58,41.29,14.44,8.45,1.19,65.37,2022
14,KUSHI NAGAR,,-21.97,0,0,0,14693.83,0,0,0,0,0,14671.86,0,10875.65,293.36,2782.37,9.48,699.21,0.29,699.49,14660.35,99.92,11.5,12.12,8.92,8.44,0,29.48,2022
15,LALITPUR,,-29.96,0,0,0,12235.42,0,0,0,0,0,12205.46,0,9780.13,203.46,1669,191.57,338.06,0.43,338.49,12182.64,99.81,22.82,14.44,4.84,2.32,0.3,21.9,2022
16,MAHOBA,,-41.93,0,0,0,4128.98,0,0,0,0,0,4087.05,0,3268.02,105.11,489.39,58.33,192.89,0,192.89,4113.75,100.65,-26.69,12.68,5.71,0,0,18.39,2022
17,MIRZAPUR,,-206.4,0,0,0,17337.83,0,0,0,0,0,17131.43,0,11324,346.75,4625.32,476.11,538.27,0.08,538.35,17310.54,101.05,-179.11,31.09,7.65,0.42,0.02,39.18,2022
18,PRATAPGARH,,-172.33,0,0,0,19408.93,0,0,0,0,0,19236.6,0,15560.52,161.39,2902.55,182.75,760.35,3.61,763.96,19571.18,101.74,-334.57,50.12,6.54,68.12,2.13,126.91,2022
19,RAE BARELI,,-69.14,0,0,0,15631.95,0,0,0,0,0,15562.81,0,12056.07,361.86,2418.37,43.96,729.54,0.22,729.75,15610.01,100.3,-47.21,4.92,7.12,21.25,0.1,33.39,2022
20,SITAPUR,,-148.07,0,0,0,39146.9,0,0,0,0,0,38998.83,0,28885.92,870.32,7532.99,532.57,1236.16,9.82,1245.98,39067.79,100.18,-68.96,132.95,35.36,83.24,4.27,255.82,2022
21,SONBHADRA,,-172.09,0,0,0,15623.73,0,0,0,0,0,15451.63,0,12381.03,380.02,2087.69,218.01,530.07,0,530.07,15596.82,100.94,-145.18,8.72,3.25,4.97,0.38,17.32,2022
22,UNNAO,,-28.57,0,0,0,11860.2,0,0,0,0,0,11831.63,0,10018.48,165.78,932.78,3.13,696.99,0.15,697.14,11817.3,99.88,14.34,21.39,5.05,9.44,0,35.88,2022
PhaseI Total,,,-1949.5,0,0,0,356829.29,0,0,0,0,0,354879.8,0,274507.57,6530.27,57251.98,3823.4,14078.91,34.91,14113.82,356227.02,100.38,-1347.21,880.15,244.39,393.34,17.62,1535.5,2022
Phase II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
23,AMBEDKAR NAGAR,,-45.23,0,0,0,11507.18,0,0,0,0,0,11461.96,0,8787.96,189.15,1856.47,25.56,599.49,5.08,604.57,11463.71,100.02,-1.76,95.07,6.15,15.81,0.78,117.81,2022
24,BAHRAICH,,92.47,0,0,0,28191.51,0,0,0,0,0,28283.98,0,21940.83,512.47,4734.58,16.39,956.01,15.04,971.05,28175.33,99.62,108.65,36.95,47.87,28.56,0.01,113.39,2022
25,BALLIA,,-43.37,0,0,0,9658.98,0,0,0,0,0,9615.61,0,7994.83,133.84,811.14,14.83,685.62,0,685.62,9640.25,100.26,-24.65,21.23,7.05,4.93,0,33.21,2022
26,BALRAMPUR,,-38.91,0,0,0,12550.59,0,0,0,0,0,12511.67,0,8889.74,146.94,2736.38,138.33,690.61,0,690.61,12601.99,100.72,-90.32,14.43,6.94,31.88,1.18,54.43,2022
27,BASTI,,-4.78,0,0,0,26086.22,0,0,0,0,0,26081.45,0,19107.15,364.37,5752.85,15.72,741.12,0,741.12,25981.21,99.62,100.24,58.69,14.97,18.44,0.14,92.24,2022
28,BUDAUN,,-14.52,0,0,0,10083.58,0,0,0,0,0,10069.06,0,7384.4,186.27,1623.29,173.07,708.44,0,708.44,10075.47,100.06,-6.41,19.93,4.23,19.16,1.23,44.55,2022
29,ETAH,,-59.39,0,0,0,6841.48,0,0,0,0,0,6782.09,0,5486.16,218.31,640.91,72.35,400.2,7.48,407.68,6825.42,100.64,-43.33,28.64,10.18,5.9,0,44.72,2022
30,FARRUKHABAD,,-33.17,0,0,0,7791.5,0,0,0,0,0,7758.33,0,5591.94,247.58,1415.43,179.55,338.11,8.97,347.08,7781.58,100.3,-23.25,3.18,4.87,1.48,0.22,9.75,2022
31,GONDA,,100.07,0,0,0,12888.76,0,0,0,0,0,12988.83,0,10160.52,155.26,1548.3,140.09,870.64,0,870.64,12874.81,99.12,114.03,17.07,7.8,13.51,1.08,39.46,2022
32,JHANSI,,40.01,0,0,0,13385.41,0,0,0,0,0,13425.42,0,9676.84,281.59,2857,189.05,363.83,0.34,364.17,13368.66,99.58,56.76,22.31,11.26,12.32,0.05,45.94,2022
33,KANPUR DEHAT,,-5.74,0,0,0,6407.76,0,0,0,0,0,6402.02,0,5400.19,149.48,486.05,45.9,311.89,0,311.89,6393.51,99.87,8.51,6.77,2.69,47.95,4.14,61.55,2022
34,MAHARAJGANJ,,-126.8,0,0,0,16809.85,0,0,0,0,0,16683.05,0,13727.97,218.11,2086.27,14.12,714.55,5.29,719.84,16766.3,100.5,-83.24,18.08,26.22,4.37,0.03,48.7,2022
35,MAU,,-60.76,0,0,0,11349.1,0,0,0,0,0,11288.34,0,8811.05,184.15,1597.53,188.6,557.51,1.87,559.38,11340.72,100.46,-52.38,21.55,2.66,5.47,0.95,30.63,2022
36,SANT KABEER NAGAR,,-65.17,0,0,0,18429.58,0,0,0,0,0,18364.41,0,11753.46,246.74,5312.64,594.25,468.97,0,468.97,18376.06,100.06,-11.65,29.6,45.48,21.12,1.69,97.89,2022
37,SHRAVASTI,,-36.99,0,0,0,6633.68,0,0,0,0,0,6596.69,0,5848.46,97.02,417.4,15.54,232.59,1.07,233.66,6612.09,100.23,-15.4,1.29,1.56,3.19,0,6.04,2022
38,SIDDHARTH NAGAR,,-47.68,0,0,0,33268.52,0,0,0,0,0,33220.85,0,18047.34,374.88,12924.24,813.91,885.49,0,885.49,33045.87,99.47,174.98,48.91,18.26,14.42,0.2,81.79,2022
39,SULTANPUR,,-54.4,0,0,0,19083.17,0,0,0,0,0,19028.77,0,14149.03,333.54,3928.17,44.04,559.79,1.6,561.38,19016.16,99.93,12.61,111.84,5.41,13.92,0.03,131.2,2022
PhaseII Total,,,-404.34,0,0,0,250966.87,0,0,0,0,0,250562.53,0,182757.87,4039.72,50728.66,2681.3,10084.85,46.74,10131.59,250339.15,99.91,223.39,555.54,223.6,262.43,11.73,1053.3,2022
Phase III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
40,AGRA,,-27.46,0,0,0,8512.27,0,0,0,0,0,8484.81,0,6401.13,353.65,1118.59,117.73,515.97,0,515.97,8507.07,100.26,-22.26,13.38,7.34,4.93,0.47,26.12,2022
41,ALIGARH,,-26.13,0,0,0,8605.4,0,0,0,0,0,8579.27,0,6952.76,191.09,1160.97,64.87,218.44,0,218.44,8588.12,100.1,-8.85,8,4.75,7.81,0,20.56,2022
42,AMETHI,,-63.99,0,0,0,15960.55,0,0,0,0,0,15896.56,0,10595.82,290.67,4451.98,130.05,444.88,0,444.88,15913.39,100.11,-16.83,11.55,6.7,22.7,0.68,41.63,2022
43,AMROHA,,-5.47,0,0,0,7888.45,0,0,0,0,0,7882.97,0,6138.48,203.12,1109.4,17.32,404.97,0.56,405.53,7873.85,99.88,9.12,29.96,4.81,2.83,0.44,38.04,2022
44,AURAIYA,,-15.74,0,0,0,4676.98,0,0,0,0,0,4661.24,0,3927.31,87.37,367.5,34.31,251.33,0,251.33,4667.82,100.14,-6.57,7.04,4.23,5.19,0.23,16.69,2022
45,AYODHYA,,-71.01,0,0,0,12940.67,0,0,0,0,0,12869.66,0,9390.85,191.39,2656.54,9.83,653.58,0.8,654.38,12902.99,100.26,-33.33,14,8.16,57.86,0.03,80.05,2022
46,BAGHPAT,,-0.84,0,0,0,181.81,2.58,0,0,0,0,183.54,0,166.66,5.34,5.27,0.13,5.07,0.08,5.15,182.55,99.46,0.99,1.3,0,2.22,0.12,3.64,2022
47,BAREILLY,,-16.3,0,0,0,13747.08,0,0,0,0,0,13730.78,0,9853.02,456.35,2451.42,211.82,774.58,0,774.58,13747.18,100.12,-16.4,6.65,5.79,9.35,0.48,22.27,2022
48,BIJNOR,,-70.87,0,0,0,12125.9,0,0,0,0,0,12055.04,0,8528.94,479.99,2353.68,210.38,535.72,0,535.72,12108.7,100.45,-53.67,19.21,14.48,95.71,11.39,140.79,2022
49,BULANDSHAHR,,-5.77,0,0,0,1855.66,0,0,0,0,0,1849.89,0,1703.67,44.32,69.94,3.94,23.16,0,23.16,1845.03,99.74,4.86,14.07,1.27,3.9,0,19.24,2022
50,DEORIA,,97.91,0,0,0,11075.67,0,0,0,0,0,11173.59,0,8757.58,178.48,1398.14,0.83,727.75,0,727.75,11062.78,99.01,110.81,37.06,9.98,12.01,0.47,59.52,2022
51,ETAWAH,,0,0,0,0,6787.44,0,0,0,0,0,6787.44,0,5590.83,128.63,708.01,4.24,342.55,0.47,343.02,6774.71,99.81,12.73,6.92,2.37,4.48,0.03,13.8,2022
52,FIROZABAD,,-33.89,0,0,0,7938.93,0,0,0,0,0,7905.04,0,6753.99,191.58,722.85,10.87,253.71,0.18,253.89,7933.19,100.36,-28.15,34.66,5.82,8.3,0.6,49.38,2022
53,GAUTAM BUDDHA NAGAR,,-0.26,0,0,0,18.51,0,0,0,0,0,18.25,0,18.5,0,0,0,0,0,0,18.5,101.36,-0.25,0.14,0,0,0,0.14,2022
54,GHAZIABAD,,-0.08,0,0,0,0.13,0,0,0,0,0,0.04,0,0.13,0,0,0,0,0,0,0.13,287,-0.08,0,0,0,0,0,2022
55,GHAZIPUR,,0.03,0,0,0,15142.77,0,0,0,0,0,15142.81,0,12104.29,192.5,1968.52,69.16,800.37,0.02,800.39,15134.87,99.95,7.93,22.51,9.05,20.89,1.11,53.56,2022
56,HAPUR,,-3.33,0,0,0,515.28,0,0,0,0,0,511.95,0,475.73,3.96,27.94,1.49,2.44,0.04,2.47,511.59,99.93,0.35,0,-0.08,0.31,0,0.23,2022
57,HATHRAS,,-39.39,0,0,0,3284.68,0,0,0,0,0,3245.3,0,2612.63,36.31,374.24,41.76,216.87,0,216.87,3281.8,101.12,-36.51,3.37,0.06,1.68,0,5.11,2022
58,KANNAUJ,,-6.15,0,0,0,5748.33,0,0,0,0,0,5742.18,0,4659.91,103.82,591.61,29.47,332.5,0,332.5,5717.31,99.57,24.87,11.26,3.57,5.28,0.09,20.2,2022
59,KANPUR NAGAR,,-24.22,0,0,0,3843.19,0,0,0,0,0,3818.97,0,3258.42,65.65,200.99,16.97,289.62,0,289.62,3831.64,100.33,-12.68,3.74,0.7,15.5,0.24,20.18,2022
60,KASHGANJ,,39.43,0,0,0,8164.03,0,0,0,0,0,8203.45,0,5500.15,261.9,2000.4,73.91,323.57,0.08,323.65,8160,99.47,43.45,3.75,6.03,0.15,0,9.93,2022
61,LUCKNOW,,-23.16,0,0,0,6131.25,0,0,0,0,0,6108.09,0,4640.81,180.56,832.81,84.54,364.11,0,364.11,6102.83,99.91,5.25,3.77,2.97,2.97,0.33,10.04,2022
62,MAINPURI,,-13.94,0,0,0,9976.37,0,0,0,0,0,9962.43,0,7772.23,280.11,1403.57,170.93,325.42,1.14,326.55,9953.4,99.91,9.03,12.02,8.77,2.75,0.14,23.68,2022
63,MATHURA,,-40.01,0,0,0,9743.16,0,0,0,0,0,9703.15,0,6067.05,111.51,2903.89,389.69,257.48,0,257.48,9729.63,100.27,-26.48,15.13,10.86,60.54,8.47,95,2022
64,MEERUT,,-15.43,0,0,0,2190.31,0,0,0,0,0,2174.88,0,1931.34,18.1,204.19,20.96,6.84,0,6.84,2181.44,100.3,-6.56,3.08,0.52,1.75,0.15,5.5,2022
65,MORADABAD,,-22.07,0,0,0,8763.94,0,0,0,0,0,8741.86,0,6936.54,216.47,1022.85,130.2,434.97,2.6,437.57,8743.64,100.02,-1.77,32.43,13.07,16.26,1.93,63.69,2022
66,MUZAFFARNAGAR,,-11.83,0,0,0,3090.64,0,0,0,0,0,3078.81,0,2464.94,63.31,469.14,30.06,48.62,3.9,52.52,3079.98,100.04,-1.17,1.33,0.48,2.79,0.1,4.7,2022
67,PILIBHIT,,-12.16,0,0,0,10919.12,0,0,0,0,0,10906.96,0,7062.98,217.19,2818.34,225.37,543.94,0.39,544.33,10868.22,99.64,38.74,14.49,6.23,18.91,1.42,41.05,2022
68,PRAYAGRAJ,,-227.24,0,0,0,21198.39,0,0,0,0,0,20971.15,0,15916.91,297.49,3593.92,443.2,887.52,0.86,888.38,21139.89,100.8,-168.74,32.05,4.98,29.24,3.34,69.61,2022
69,RAMPUR,,-41.59,0,0,0,11330.86,0,0,0,0,0,11289.27,0,6651.19,744.67,3162.01,335.32,431.66,0,431.66,11324.84,100.32,-35.57,15.16,3.94,7.19,0.43,26.72,2022
70,SAHARANPUR,,-5.22,0,0,0,4559.2,0,0,0,0,0,4553.98,0,3557.91,111.53,626.38,7.1,248.76,0.11,248.87,4551.79,99.95,2.19,1.84,1.3,4.31,0.15,7.6,2022
71,SAMBHAL,,-12.68,0,0,0,6628.37,0,0,0,0,0,6615.69,0,5629.5,75.97,450.1,28.52,420.65,0,420.65,6604.75,99.83,10.94,26.43,3.12,7.11,0.25,36.91,2022
72,SANT RAVIDAS NAGAR,,152.21,0,0,0,5559.22,0,0,0,0,0,5711.43,0,4187.43,104.19,867.68,76.56,299.6,0.74,300.34,5536.2,96.93,175.23,11.45,3.16,3.82,0.4,18.83,2022
73,SHAHJAHANPUR,,-47.06,0,0,0,12098.94,0,0,0,0,0,12051.89,0,8437.28,248.88,2536.74,146.37,713.64,0,713.64,12082.92,100.26,-31.03,10.13,3.09,12.54,1.02,26.78,2022
74,SHAMLI,,-29.08,0,0,0,1060.52,0,0,0,0,0,1031.44,0,1026.82,12.65,5.21,0,8.99,0,8.99,1053.67,102.15,-22.23,4.01,0.35,1.76,0,6.12,2022
75,VARANASI,,21.18,0,0,0,6344.47,0,0,0,0,0,6365.65,0,4772.67,155.16,915.99,41.73,442.02,0,442.02,6327.56,99.4,38.08,8.28,1.76,1.64,0,11.68,2022
PhaseIII Total,,,-601.62,0,0,0,268608.49,2.58,0,0,0,0,268009.43,0,200446.39,6303.94,45550.79,3179.63,12551.31,11.97,12563.28,268043.98,100.01,-34.56,440.17,159.63,454.68,34.51,1088.99,2022
All District Total ,,,-2955.45,0,0,0,876404.64,2.58,0,0,0,0,873451.77,0,657711.83,16873.92,153531.43,9684.29,36715.08,93.61,36808.68,874610.15,100.13,-1158.38,1875.86,627.62,1110.45,63.87,3677.8,2022
State Fund ,,,28999.29,0,,,0,0,,0 ,,,-678439.21,,,,,,1133.56,0.7,1134.25,1134.25,,-679573.47,,,,,,2022
Grand Total of State ,,,26043.84,0,0,0,876404.64,2.58,0,0,0,0,195012.56,0,657711.83,16873.92,153531.43,9684.29,37848.64,94.31,37942.93,875744.4,448.49,-680731.85,1875.86,627.62,1110.45,63.87,3677.8,2022
*Status of State Fund:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
                       • OB of State Fund= 28999.29032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
                       • OB of State Fund= 28999.29032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
• Releases by Centre to State Fund in current FY= 849338.12492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
                       • Releases by State as State share against centre release in the current FY= 25607.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
                       • Misc (if any)= 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
                       • Total Availability at State Fund= 903944.51524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
                       • Refund From SEGF= 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
                       • Balance of State Fund= -679573.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
                       • Fund in Transit=Rs. 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Note: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
These Figures are Cumulatively Display.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Col 3: OB=CB of last FY as per MIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Col 4: OB=OB entered manually in the MIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
"** Payment due means MR,Bills/Vouchers that have been entered but payment date has not been entered in the MIS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
Report Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022
